[INPUT1],[INPUT2],[INPUT3],[INPUT4],[OPTION1],[OPTION2],[ANSWER]
Joanie menghadiri wawancara untuk pekerjaan pertamanya.,Dia sangat gugup.,Dia sangat ingin mendapatkan pekerjaan di kedai es krim itu.,Dia merasa wawancaranya berjalan cukup baik.,Dia menolak pekerjaan itu saat sang manajer menawarkannya kepadanya.,Esoknya dia menerima telepon dan ditawarkan pekerjaan itu.,1
Ana adalah seorang ibu yang giat bekerja.,Suatu hari dia memesan layanan siang di spa untuk dirinya.,Dia meminta pijat seluruh tubuh.,Dia bahkan meminta sesi hidroterapi.,"Suatu hari, dia membatin, dia akan meminta pijat seluruh tubuh.",Dia merasa luar biasa santai dan senang sesudahnya.,1
Bob adalah pekerja di Mechanical Turk.,Dia mendapatkan bonus lima puluh dolar.,Bob senang karena itu bonus terbesar yang pernah dia terima.,Bob mengenakan kacamatanya dan menyadari itu sebenarnya lima dolar.,Bob bahkan lebih bahagia dari sebelumnya.,"Bob tetap bahagia, tetapi tak terlalu bersemangat.",1
Ibu tak ingin memasak makan malam ini.,Kami semua sangat lapar.,Dia menyuruh kami mengurus diri sendiri.,Kami makan sereal dingin untuk makan malam ini.,Kami semua sangat kesal.,Itu hidangan terbaik yang pernah kami rasakan.,0
Keluarga Mary berkumpul untuk makan malam hari raya di klub.,Semua akan hadir kecuali Kakek Mary.,Mary sedih bahwa seluruh keluarga tak akan berkumpul.,"Saat tiba di klub, dia terkejut melihat kakeknya!",Mary sangat putus asa!,Mary begitu bahagia!,1
Anak-anak sedang bermain di dalam ketika mereka mendengar musik.,Mereka berlari ke ibu mereka dan meminta uang receh.,Ibu mereka memberi mereka beberapa dolar.,"Mereka berlari ke luar, mengejar truk es krim.",Anak-anak itu melempar uangnya di jalan.,Anak-anak itu dengan girang membeli es krim kerucut.,1
Kami ingin pergi ke pantai di suatu akhir pekan.,"Setelah membahasnya, kami tak ingin mengemudi.",Kami langsung mencari tiket pesawat di internet.,"Setelah membeli tiket murah, kami menuju bandara.",Kami menaiki penerbangan ke pantai.,Kami memutuskan terus mengemudi melewati bandara menuju pantai.,0
Susan bangun lebih awal.,Dia harus memberi makan hewan-hewan sebelum bekerja.,Dia mendapati kelincinya memiliki bayi.,Susan sangat senang melihat bayi-bayi kelinci itu.,Susan pergi dengan sangat marah.,Susan merawat anak-anak kelinci itu dengan baik.,1
Aku selalu berusaha tidur tepat waktu.,Semalam aku terlalu asyik menonton acara teve baru.,Tanpa aku sadari ternyata sudah sangat larut.,Seharusnya aku sudah tidur berjam-jam lalu.,Acara televisi itu membuatku larut.,Aku benci acara televisi itu.,0
Howard merasa senang suatu pagi.,Dia memutuskan menghabiskan sepanjang hari menikmati hidupnya.,"Sepanjang hari, selagi di tempat kerja, dia memuji rekan-rekan kerjanya.","Saat pulang, dia mengajak keluarganya ke bioskop dan makan malam.",Howard senang menjalani hari sangat menyenangkan.,Howard duduk dan menangis sepanjang waktu.,0
Seorang pria tiba di lokasi pembangunan untuk pekerjaannya.,"Dia memakai topi pelindungnya, mengambil peralatannya, dan berjalan ke lokasi.","Saat dia berjalan, sebuah batu bata besar jatuh dan menimpa kepalanya.",Pria itu pingsan dan rekan-rekannya berlari untuk menolong.,Rekan-rekan kerjanya membawa dia ke tempat aman dan memanggil tim medis mereka.,Pria itu mulai berlari ke arah mereka.,0
Keluarga Trent memiliki toko persediaan alat berkemah.,"Namun, Trent benci berkemah.",Setiap musim panas orang tuanya memaksa dia pergi berkemah.,Musim panas ini Trent bertugas menjaga api di tengah angin.,Trent menagihkan dua teko sangria ke kamar orang tuanya.,Trent ceroboh dan menyebabkan kebakaran besar.,1
George memutuskan membeli sebuah teve.,Dia menemukan teve sangat bagus yang dia inginkan dan pergi mengambilnya.,"Beberapa hari kemudian, George terbangun menemukan kejutan.",Tevenya telah dicuri.,"Dia memberi tahu polisi, yang berkata mereka kemungkinan tak akan menemukannya.",Semua berjalan sesuai yang dia harapkan.,0
Tommy berusia 17 saat mengecat rambutnya merah muda.,Dia menganggap itu punk dan keren.,Beberapa temannya setuju.,Orang tuanya menganggap itu bodoh.,Mereka menyukai tampilan baru yang dipilih Tommy.,Mereka menyuruh Tommy mencukur kepalanya.,1
Robbie mencari bantuan untuk menyekop mobilnya keluar dari salju.,"Dia mengunggah di Facebook, berharap akan ada yang melihat.","Cameron melihat unggahan itu, merasa simpati kepada Robbie dan mobilnya.","Karena hari itu dia libur, Cameron berkata dia akan membantu.",Cameron datang dan membantu Robbie menyekop.,Cameron ke bioskop dan menonton Ghostbusters.,0
Ronald menendang melepas sepatunya dan berbaring di sofa untuk tidur siang.,"Saat bangun, dia mengenakan sepatunya.","Namun, dia tak bisa menalikan sepatunya karena talinya hilang!","Dia mencari ke mana-mana, tetapi tak bisa menemukannya.",Ronald mengenakan sepatunya dan menalikannya.,Ronald mencari tali lain.,1
Sara mengetahui dia mengandung.,Dia melewati kehamilan sembilan bulan.,Suatu hari ketuban Sara pecah dan dia dibawa ke rumah sakit.,Sara bersalin selama empat jam.,Sara melahirkan bayi lelaki.,Sara tidur siang.,0
Tahun lalu pamanku membeli detektor logam.,Dia membawanya ke pantai setiap akhir pekan.,Beberapa bulan lalu dia menemukan sebuah Rolex.,Rolex itu bernilai beberapa ratus dolar.,Pamanku membenci pantai.,Pamanku menikmati hobinya.,1
Aku pergi untuk menjaga keponakan lelakiku yang berusia lima tahun di San Francisco.,Saudariku mendorongku mengantar anaknya ke sekolah dengan sepeda.,Aku takut bersepeda melintasi kota dengan memboncengkan keponakan lelakiku.,"Alih-alih, kami bersepeda melintasi Taman Golden Gate menuju pantai dan ke kebun binatang.",Aku tak memiliki saudari.,Kami bersenang-senang!,1
Teman-teman Alice mengajaknya keluar untuk makan siang.,Dia berkendara untuk menemui mereka di sebuah restoran.,"Teman-temannya menanti di satu meja, tetapi sudah memesan.","Saat makanan Alice tiba, mereka sudah selesai makan.",Alice merasa teman-temannya agak tak peduli.,Alice merasa teman-temannya sangat penuh perhatian.,0
Anak-anakku dan aku mengunjungi penampungan hewan setempat.,Kami melihat anak-anak anjing dan kucing di kandang.,Putriku memilih seekor anak anjing yang ramah.,Mereka bermain dengan anak anjing itu dan mengusap perutnya.,Aku mengadopsi anak anjing itu untuk putriku.,Aku memutuskan membelikan putriku permen saja.,0
Mario turun dari ranjang.,Hari ini hari pernikahannya dan dia sudah merasa gugup.,Dia bercukur dan mandi dengan bahagia.,Dia berpakaian dan pergi ke gereja.,Itu hari terbaik dalam hidupnya.,Mario menghabiskan siang menangkap kupu-kupu di taman.,0
Zeke lelah hidup di Amerika.,Dia memutuskan pindah ke Cozumel.,Dia pergi ke pantai Cozumel dan membeli beberapa bidang tanah.,Zeke memutuskan membangun sebuah rumah di lahan itu.,Zeke lantas dengan senang pindah ke Amerika.,Zeke menjalani hidupnya dengan sangat bahagia.,1
Kelly ingin masuk Angkatan Laut.,Dia menanyakan hal itu kepada seorang perekrut.,Si perekrut menyarankan agar dia melengkapi pendaftaran.,Gina mengisi dan menyerahkan pendaftaran.,Angkatan Laut segera membalas Gina.,Angkatan Darat AS membalas kepada Gina.,0
Gina di ruang makan siang di sekolah barunya.,Dia hanya mengenal dua orang di seluruh sekolah.,Tak satu pun dari mereka berada di ruang makan siang ini.,Dia mengambil makanannya dan pergi ke luar.,Gina merasakan hari yang sangat baik.,Gina sangat kesepian.,1
Hari ini kami pergi naik pesawat.,"Pesawatnya sangat besar, aku takut.","Saat kami naik ke pesawat, Ibu memberi tahu itu akan menyenangkan.","Pesawatnya menimbulkan banyak suara keras, tetapi tak terlalu buruk.",Aku bersumpah tak akan pernah naik pesawat lagi.,Aku tak takut pesawat lagi.,1
Adam butuh topi bisbol baru.,Dia mencari berbagai topi di internet.,Dia memilih topi sempurna dan memesannya.,Dia sangat bersemangat menerimanya.,Dia melempar kotaknya ke kloset.,Dia membuka topinya begitu tiba.,1
Ted dan Beth merencanakan pernikahan bersama.,Mereka menyadari mereka mungkin tak punya cukup uang untuk membiayainya.,Ted meminta orang tuanya membiayai dan mereka setuju.,Beth melakukan hal serupa dengan orang tuanya dan juga mendapatkan uang tambahan.,Orang tua mereka mencintai mereka.,Mereka menghabiskan uangnya untuk permen.,0
Cindy turun dari ranjang.,"Namun, dia tak bisa menemukan sandalnya.","Alih-alih membuat sarapan, dia habiskan seharian mencari sandal itu.",Dia menyerah dan membeli sandal baru.,Dia juga memesan sebuah iPhone.,"Untungnya, sandal barunya lebih nyaman daripada yang lama.",1
Nell baru tiba di Paris.,Dia tak sabar melihat seluruh kebudayaan di sana!,Dia menghabiskan hari pertamanya melihat karya seni.,Dia mengunjungi tiga museum hanya dalam satu hari!,Nell sangat bahagia dan puas dia mampu berkunjung.,"Nell menghabiskan seluruh uangnya terlalu cepat, dan tak pernah melihat seni lagi.",0
Jessica bersiap lulus dari universitas.,Dia bekerja sangat keras di sekolah dan merasa dia berhak menerima hadiah.,Ayahnya tahu bahwa Jessica ingin liburan.,"Di hari kelulusannya, ayah Jessica membuat kejutan dengan memberinya tiket.",Jessica sangat senang.,Jessica sangat marah pada ayahnya.,0
Tim terlalu tinggi untuk semua celananya.,Dia tidak dapat menemukan pakaian yang cocok dipakai untuk perjalanannya ke taman!,"Semuanya membuat kakinya tampak terlalu panjang, dan konyol.",Lalu dia putuskan memotong jinnya menjadi celana pendek.,Tim putuskan tetap di rumah dan nonton TV.,Tim memakai celana pendek jin itu ke taman.,1
Sandy telah membeli ranjang baru.,Dia perlu membersihkan kamar sebelum kurir tiba.,Dia juga perlu menyingkirkan ranjang lamanya.,Temannya Jim menginginkan ranjang lamanya.,Sandy membuang ranjangnya.,Sandy menjual ranjang lamanya pada Jim.,1
"Di Universitas, aku punya profesor yang jahat.",Mereka tidak tahu cara mengajar siswa.,"Jadi, aku belajar mengajar diri sendiri.","Alih-alih ke kelas, aku pergi ke perpustakaan dan melakukan itu.",Aku sayang semua profesorku.,Mengajar diri sendiri membantuku mengungguli siswa lainnya.,1
TImmy tahu tentang gadis cantik yang satu sekolah dengannya.,Dia mengikutinya pulang suatu hari.,Dia berhenti di persimpangan saat dia membuntutinya.,"Timmy sadar dia ketahuan, dan tidak tahu harus berbuat apa.",Dia menyapa dan mereka mulai bicara.,Dia terjun ke air dingin.,0
Neil mengunjungi Mesir.,Dia mengikuti tur untuk melihat Piramida Agung.,Dia menatapnya dengan kagum.,Mereka sangat besar dan cantik!,Neil terkesan dengan ukuran dan keindahan piramid.,Neil tak sabar untuk kembali ke hotel agar bisa menonton TV.,0
Jen tertidur dengan pemutih di rambutnya.,"Dia hanya bermaksud membiarkannya selama sekitar 5 menit, bukan nyaris sejam.",Saat dia membilas rambutnya berwarna putih kebiruan.,Dia panik tapi ibunya berkata mereka dapat memperbaikinya.,Jen membubuhkan lebih banyak pemutih ke rambutnya.,Ibu Jen memperbaiki rambut Jen yang berubah warna.,1
Doug sedih ini Malam Natal dan tidak ada salju.,Yang Doug inginkan hanya Natal putih.,Dia berdoa pada Tuhan meminta salju dan pergi tidur.,Saat bangun keesokan pagi kamarnya penuh dengan cahaya.,Doug melihat ke luar jendela dan melihat hamparan salju putih.,Doug tidak menemukan salju dan langsung riang.,0
Sheryl bekerja sebagai kurator museum.,Keluarga mengatakan pekerjaannya membosankan.,Dia coba katakan pada mereka bahwa dia dapat bekerja dengan sejarah hidup.,Dia coba katakan bahwa pekerjaan mereka jauh lebih buruk.,Sheryl bangga dengan pekerjaannya sebagai kurator museum.,Sheryl depresi karena dia seorang kurator museum.,0
Joe meregang saat dia berguling di ranjang.,Jamnya menunjukkan pukul 10 am.,"Dia melompat dari ranjangnya, panik.",Alarmnya tidak berbunyi.,Joe terlambat ke kantor.,Joe kembali tidur.,0
Istri Ned berkata dia meninggal dengan tenang saat tidur.,Istrinya mengatakan pada semua temannya bahwa dia tidak tahu dia sakit.,Dia bersumpah itu adalah hal teraneh yang pernah dia lihat.,Polisi tidak percaya dengan ceritanya dan menahannya.,Polisi tidak bertanya padanya.,Dia menyewa pengacara pembela.,1
Jackie masuk rumah sakit hari ini.,Bayinya akan lahir.,Suaminya datang dari kantor untuk menenangkannya.,"Setelah 48 jam bersalin, bayinya keluar.",Jackie dan suaminya sangat gembira.,Jackie sangat depresi.,0
Keluargaku menginginkan hewan peliharaan.,Kami pergi ke toko hewan di hari Sabtu.,Kami melihat banyak anjing dan kucing.,Kami jatuh cinta dengan anak kucing hitam yang lucu.,Kami membeli seekor chihuahua.,Kami membeli anak kucing.,1
Saudari Joe selalu menempel ujiannya di lemari es.,Dia selalu dapat A.,Joe tidak pernah dapat A.,Jadi dia bangga saat pulang ke rumah dengan A untuk PR ejaannya.,Saudarinya memberinya selamat.,Dia sedih seharian.,0
Adam dan Angel ingin keluar dan memiliki tempat sendiri.,Mereka mencari apartemen di daring selama beberapa minggu.,Mereka menemukan apartemen baru yang sangat mereka sukai.,Mereka pergi dan melihat apartemen yang mereka pilih.,Akhirnya mereka memilih sebuah apartemen.,Setelahnya mereka putus.,0
Greta akan berusia sepuluh tahun.,Dia ingin mengadakan pesta ulang tahun.,Greta membagikan undangan pesta di sekolah.,"Saat hari pesta tiba, tidak seorang pun yang datang.",Greta senang karena tidak ada yang datang.,"Greta sangat sedih, tetapi orangtuanya menghiburnya.",1
Shari khawatir.,"Pernikahannya besok, dan itu adalah upacara luar ruangan.",Namun prakiraannya akan hujan!,"Untunglah, ternyata cuaca cerah di hari pernikahan.",Pestanya berjalan tanpa hambatan.,Semua tamu diselimuti salju.,0
Amy senang karena ini Malam Natal.,Dia bersikap sangat baik sepanjang tahun.,Dia memberi daftar mainan favoritnya pada Sinterklas di mal.,Dia berkata padanya akan menerima semua yang dia inginkan.,Amy sama sekali tidak suka Natal.,"Di hari Natal, Amy mendapatkan tepat apa yang dia harapkan.",1
Anna merawat kebunnya sepanjang musim panas.,Dia pergi keluar untuk panen.,Semua buah dan sayurannya siap!,Dia memetik mereka satu per satu.,Anna tidak menyukai sayuran.,Dia menikmati panen melimpah.,1
Kim menjatuhkan sikat giginya di toilet.,Dia jijik membayangkan memasukkan tangannya untuk menariknya keluar.,Dia mengambil gunting dari laci.,Setiap kali dia memegang sikat gigi dia menjatuhkannya.,Kim selesai menyikat gigi dan tersenyum.,Kim putuskan ini pertanda untuk membeli sikat gigi baru.,1
Orangtua Hannah memasukkannya ke les piano.,"Setelah les piano pertamanya, Hannah merasa kecil hati.",Dia coba berlatih sekeras mungkin.,Hannah tidak dapat membuat jemarinya bekerja dengan benar.,Hannah menyayangi jemarinya.,Hannah menyerah belajar piano.,1
Keira menemukan pria yang menurutnya seorang pengayom.,"Dia punya pekerjaan bagus, rumah yang mengagumkan, dan membayar untuk semua kencan mereka.","Beberapa bulan berkencan, Keira mulai merencanakan gaun pengantinnya.",Kemudian dia memukulnya karena membuat makan malam gosong.,Keira sangat bangga dengan kekasih barunya.,Keira tidak dapat tinggal bersama pria abusif ini.,1
Sang gembala membuka pintu kandang.,Dia menyuruh anjingnya ke padang rumput untuk mengumpulkan domba.,Si anjing menggembala domba menuju pintu.,Domba bergerak bersama menuju kandang.,Sang gembala lalu kembali ke rumahnya.,Sang gembala lalu melepas domba.,0
Walter kesepian sejak istrinya meninggal.,Dia bertemu wanita yang baik di bingo dan berteman dengannya.,Namun dia merasa bersalah tentang apa yang mungkin dipikirkan mendiang istrinya.,Walter mengalami mimpi nyata di mana sang mendiang istri meyakinkannya.,Dia meminta wanita dari bingo untuk pergi makan malam dengannya.,Dia putuskan untuk tidak lagi berkencan.,0
Marina berjalan melewati perpustakaan.,Dia menundukkan wajah untuk menghindari angin kencang yang menerpa wajahnya.,Tiba-tiba sebuah gulma raksasa menubruk kaki Marina sangat keras.,Dia melihat kakinya namun jadi linglung.,Dia suka bermain golf.,Dia tidak percaya betapa kencang anginnya.,1
Kemarin aku bermain gim Powerball.,Aku memilih nomorku dari alkitab keluarga kami.,Aku membeli tiket dari agen lotre daring ternama.,Aku berdoa dengan cemas saat nomor pemenang diundi.,Aku tidak menang.,Aku kecewa saat aku menang.,0
Amy masuk ke kelas Biologi Tumbuhan lanjutan.,Ada ujian minggu depan tentang Fotosintesis.,Informasinya kompeks dan mendalam.,Dia menulis lagu tentangnya untuk mengingat materi dengan lebih mudah.,Amy kemudian tidak lulus ujian karena dia tidak bersiap.,Lagunya membantunya dan kemudian dia mampu mengerjakannya.,1
"Sekeluarnya dari Universitas, aku sangat cemas untuk mulai bekerja.",Aku tidak bisa tidur seminggu sebelum tanggal mulaiku.,"Di hari H, aku mual dan gelisah.","Akan tetapi, sebuah pesan ucapan selamat dari orangtua membuatku bersemangat.",Akhirnya aku pulang lebih awal karena sakit.,Hari pertamaku kerja menyenangkan.,1
Ben yang berusia tujuh tahun pergi bermain di rumah temannya Mike.,"Mike menyapa Ben, dan mereka pergi bermain di kamar Mike.","Pertama, mereka bermain dengan quadcopter lama sekali.","Kemudian, mereka bermain dengan truk.",Mereka bergembira bersama.,Namun mereka tidak gembira.,0
Seorang pelayan sudah tak sabar ingin pulang namun masih ada satu meja yang makan.,Si pelayan mencetak tagihan dan menyelipkannya di meja.,Para tamu melihat tagihan itu setelah beberapa saat dan menangkap isyaratnya.,Mereka membayar tagihannya lalu pergi.,"Dengan rasa syukur, si pelayan pulang malam itu.",Pasangan itu memesan hidangan pembuka dan menetapkan hidangan utamanya,0
Kay pindah kembali ke rumah bersama ibunya.,Ia dengan sedih mengepak barang-barangnya dan mengemudi ke rumah ibunya.,Ibunya membantu membawakan barang dari mobil.,Ruang yang ada tidak cukup untuk barang-barang Kay.,Kay harus menaruh sebagian barangnya di gudang.,Kay harus membeli lebih banyak barang.,0
